Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
lithium,71.128,38.2,3515,1.863,11511.0,530.0,46.263733,48.2041
cobalt alloy multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
parafin oil,0.151,0.09,1970,1.576,488.0,800.0,52.618103,62.556152
magnesium alloy hk31a(t6) (casting),92.048,50.2,1025,1.835,12996.0,1790.0,61.835266,61.72107
silicon carbide (SiC) (rextal  65-70d),18.41,13.1,678,1.403,5082.0,2070.0,71.48657,51.525513
calcium carbonate (CaCO3) (natural),2.259,1.04,837,2.185,2221.0,2610.0,48.520752,65.16089
titanium alloy hylite 55 (imi),7.531,3.03,523,2.489,4330.0,4760.0,70.130066,60.037598
aluminum alloy (Al Mg 2.5-5.0),125.52,53.7,879,2.338,17127.0,2660.0,62.414,64.95447
brass red cast (Cu85 Zn5 Pb5 Sn3),71.965,21.8,377,3.299,15399.0,8750.0,34.487732,36.70862
zirconium nitride (ZrN) (pr sr 88-90 d),10.46,4.18,385,2.503,5116.0,6500.0,55.66693,61.232056
steel stainless 19-9dl,13.389,3.42,502,3.916,7241.0,7800.0,51.640686,44.04895
fired carbon brick,3.598,3.46,707,1.039,1934.0,1470.0,54.702576,50.609863
aluminum oxide (Al2O3) (polyxtal  55 d),17.573,10.3,778,1.712,5485.0,2200.0,69.13153,52.44336
bronze  tin (cast) high leaded,41.84,12.1,377,3.468,12040.0,9200.0,38.84027,22.095337
steel stainless ca15 ca40 (cast),25.104,7.17,460,3.501,9376.0,7610.0,48.815796,26.786987
magnesium alloy hk31a(o) (casting),104.6,57.0,1025,1.835,13853.0,1790.0,62.950012,63.406372
zinc,111.71,40.2,389,2.777,17617.0,7140.0,52.09082,56.424194
nickel alloy monel h (cast),26.778,7.19,439,3.723,9988.0,8480.0,45.998535,23.549927
molybdenum beryllide (MoBe12),41.84,13.2,1088,3.173,11521.0,2916.0,31.641174,50.67749
iron sulfide (FeS2) (single crystal),37.907,13.6,557,2.785,10270.0,5000.0,59.303406,31.029785
titanium alloy (Ti Bal  Al8  Mo1  v1),5.858,2.46,544,2.377,3731.0,4370.0,66.52557,59.93689
plutonium sulfide,9.623,3.95,230,2.436,4842.0,10590.0,43.934753,40.80432
magnesium,150.62,86.2,1004,1.747,16221.0,1740.0,65.56769,66.517334
aluminum alloy 2024-t4 and 24s-24 (ar),118.41,50.9,837,2.327,16597.0,2780.0,62.19458,64.8457
copper lithium oxide (96CuO.4LiO),15.272,3.62,669,4.215,8025.0,6300.0,39.61731,52.838623
soda-lime glass,1.339,0.77,753,1.732,1523.0,2300.0,52.023438,61.159424
titanium alloy (Ti Bal  Sn4.8  Al4.5),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
forsterite brick (MgO 58 SiO2 38)(20 p),1.004,0.46,795,2.194,1484.0,2760.0,44.355774,65.12134
potassium bromide (KBr 50),2.51,2.0,531,1.253,1774.0,2360.0,55.31842,54.040527
titanium alloy (Ti Bal V15 Al2.8),8.368,3.31,527,2.53,4602.0,4800.0,71.63214,59.301636
titanium carbide cermet k162b,19.246,5.9,544,3.264,7925.0,6000.0,47.560303,39.187256
ammonia (NH3) (gas)  (25 °C),0.025171,16.77,2162,0.002,103.0,0.694,52.67871,44.875732
marble dielectric (CaCO3 99.99),3.766,1.59,879,2.373,2989.0,2700.0,49.59131,65.880615
antimony (liquid),20.92,12.6,255,1.658,5891.0,6500.0,68.260315,61.657593
nickel alloy incoloy,12.134,3.35,452,3.621,6627.0,8010.0,50.98987,43.430298
magnesium alloy bz33a(ac ah) (casting),100.42,53.5,1025,1.876,13725.0,1830.0,62.53241,63.41211
nickel alloy nimonic 100,11.297,3.07,460,3.68,6449.0,8000.0,51.430664,45.313843
nickel alloy constantan (Ni45 Cu55),22.175,6.28,398,3.538,8852.0,8890.0,42.412292,30.818237
rhenium,60.668,20.9,138,2.898,13264.0,21000.0,32.153564,48.480713
polyvinylidene chloride film,0.126,0.06,1339,2.25,531.0,1680.0,44.133667,68.51257
holmium,10.042,6.9,165,1.452,3822.0,8800.0,56.996155,59.477173
balsa wood (across grain),0.084,0.11,2301,0.736,248.0,320.0,54.051147,56.361084
ammonium bromide (NH4Br),2.51,1.03,1004,2.44,2475.0,2430.0,45.885254,68.37732
steel stainless 201 and 202,16.318,4.22,502,3.865,7943.0,7700.0,51.647583,37.574707
holmium,10.042,6.9,165,1.452,3822.0,8800.0,56.996155,59.477173
kyanite - aluminum silicate (Al2O3.SiO2) (tricl crystal),17.322,6.16,770,2.811,6977.0,3650.0,68.83362,58.46289
carbon dioxide  (25 °C),0.016632,10.957,851,0.002,55.0,1.7842,51.852234,37.96045
oxygen (gas),0.026,23.2,795,0.001,5.0,1.429,51.57202,35.6167
vermiculite expanded,0.071,0.43,753,0.166,109.0,220.0,52.27643,41.50952
iron sulfide (FeS2) (single crystal),37.907,13.6,557,2.785,10270.0,5000.0,59.303406,31.029785
steel multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
nitrogen (gas),0.026,19.6,1042,0.001,6.0,1.251,51.749207,37.098877
polyvinyl chloride acytate  flexible,0.167,0.08,1674,2.009,580.0,1200.0,47.574585,66.255005
particle board (low density),0.078,0.1017,1300,0.312,590.0,240.0,52.67285,44.82666
titanium carbide (TiC) (96 pc dense),31.38,11.6,569,2.697,9200.0,4740.0,69.61658,33.091064
vanadium carbide (VC),36.401,12.5,519,2.906,10284.0,5600.0,50.457886,30.888672
nickel alloy m-252 (ge j-1500),9.623,2.67,439,3.604,5891.0,8210.0,50.67279,48.40442
cypress wood (across grain),0.096,0.09,2301,1.058,319.0,460.0,54.409058,59.35608
bronze aluminum (Cu92 Al8),71.128,23.9,377,2.978,14547.0,7900.0,38.32074,42.09778
brass tin (naval and admiralty),112.97,35.5,377,3.189,18972.0,8460.0,40.81848,49.704468
beta-spodumene (Li2O.Al2O3.4SiO2) (tet),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
nitrogen (gas),0.026,19.6,1042,0.001,6.0,1.251,51.749207,37.098877
bismuth (liquid),10.878,7.64,142,1.42,3934.0,10000.0,61.320435,54.757202
melamine (high dens  high k),0.711,0.21,1674,3.348,1543.0,2000.0,43.308105,74.303345
copper alloy (110),390.0,113.0,385,3.43,36576.0,8910.0,54.616272,61.090576
pbx-9011 h.e. (hmx 90 estane 10),0.431,0.21,1172,2.074,946.0,1770.0,45.826843,66.889404
pyrophyllite (parallel to bedding),4.77,2.04,837,2.344,3343.0,2800.0,52.067932,64.82678
osmium,85.772,29.3,130,2.934,15846.0,22570.0,32.535583,56.753662
yttrium boride (YB6) (98.4 pc dense),29.288,13.0,628,2.261,8135.0,3600.0,100.0,42.038452
polystyrene (modified),0.084,0.06,1339,1.446,348.0,1080.0,51.29724,58.84912
calcium carbonate - calcite (CaCO3) (c axis),4.393,1.94,837,2.268,3156.0,2710.0,51.110535,64.49011
iron ductile (Mg containing),33.054,9.98,460,3.312,10465.0,7200.0,49.028748,23.750854
teak wood (across grain),0.172,0.12,2301,1.473,503.0,640.0,54.616272,61.090576
beryllium alloy (Be99.5),154.81,45.7,1841,3.387,22900.0,1840.0,50.6557,62.462036
titanium alloy (Ti Bal V14 Cr10 Al4),7.95,2.96,527,2.688,4623.0,5100.0,59.72931,61.25464
fused quartz silica glass (SiO2),1.381,0.84,745,1.639,1504.0,2200.0,53.05121,59.358276
"carbon dioxide  (25 °C, 65 bar)",0.080748,0.018631,6057,4.334,11.0,715.5,15.14209,100.0
aluminum oxide (Al2O3) (polyxtal  55 d),17.573,10.3,778,1.712,5485.0,2200.0,69.13153,52.44336
nickel alloy (Ni60 Cr16 Fe24),13.389,3.53,460,3.795,7130.0,8250.0,51.121704,41.20508
nylon glass filled,0.209,0.11,1339,1.875,626.0,1400.0,47.12085,65.07544
soil sandy (H2O 8),0.586,0.33,1004,1.757,1014.0,1750.0,49.13983,62.95056
lanthanum,13.807,11.6,193,1.197,4059.0,6200.0,65.5094,61.400513
colombium alloy (Cb95 Ta5),44.769,19.8,251,2.259,10056.0,9000.0,36.78235,44.035034
zinc antimonide (ZnSb),2.343,1.37,272,1.714,2004.0,6300.0,58.72577,78.827515
steel stainless hu (cast),15.481,4.19,460,3.694,7564.0,8030.0,50.440063,37.21924
copper alloy - cupronickel (Cu70 Ni30),29.288,8.74,377,3.355,9908.0,8900.0,39.08972,29.79004
titanium alloy (Ti Bal  Sn4.8  Al4.5),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
copper sulfate hydrate (CuSO4.5H2O),2.259,0.84,1172,2.677,2459.0,2284.0,41.168457,71.19055
magnesium alloy 1992 (Mg Ce4.45 Co3),129.7,77.5,962,1.674,14737.0,1740.0,64.80682,63.430786
tungsten,196.65,76.1,134,2.586,22543.0,19300.0,30.480957,69.44995
steel stainless hc hd (cast),30.962,8.17,502,3.79,10834.0,7550.0,49.207275,19.713013
rubber  high k,0.293,0.13,2092,2.301,821.0,1100.0,51.88867,63.515503
thallium,38.911,25.3,130,1.541,7733.0,11850.0,55.371277,63.83557
uranium alloy (U98.5 Zr1.5),22.594,10.4,117,2.176,7018.0,18600.0,48.553345,38.471313
uranium oxide + mo (UO2 80 vol) (91 d),13.807,4.13,335,3.35,6798.0,10000.0,33.018494,45.66797
barium titanate (BaO.TiO2) (sintered),3.389,1.31,439,2.59,2964.0,5900.0,51.92389,60.585327
niobium beryllide (Nb2Be17),31.38,10.7,921,2.947,9614.0,3200.0,49.458496,52.828003
nickel alloy hy mu 80,33.388,8.53,448,3.916,11430.0,8740.0,45.34613,16.700195
pbx-9404-03 h.e. (hmx 94 nc 3 bind 3),0.427,0.23,1004,1.843,887.0,1836.0,47.90399,64.39917
melamine (high dens  high k),0.711,0.21,1674,3.348,1543.0,2000.0,43.308105,74.303345
cobalt alloy hs-27 (cast),11.171,3.25,418,3.432,6195.0,8210.0,48.440186,45.290527
iron  ni-resist  type d2 (cast),13.389,3.93,460,3.409,6757.0,7410.0,49.522095,41.835327
cesium (liquid),25.104,54.4,251,0.462,3405.0,1840.0,62.96466,38.001465
zinc ferrite (ZnO.Fe2O3),4.017,1.29,586,3.123,3541.0,5330.0,37.10144,70.37512
manganese selenide (97mnse.3lise),2.803,1.32,385,2.118,2436.0,5500.0,57.86737,80.6698
rhenium,60.668,20.9,138,2.898,13264.0,21000.0,32.153564,48.480713
magnesium alloy zw1(x) (zk11) (wrought),133.89,72.6,1025,1.845,15717.0,1800.0,64.875,66.17407
silver antimony telluride (SnTe 25 pc),0.983,0.72,209,1.359,1156.0,6500.0,55.917603,65.06384
indium antimonide (insb) (imp 0.33-1.2),71.128,46.7,218,1.526,10409.0,7000.0,76.567566,63.02124
cerium,10.878,8.32,193,1.31,3771.0,6790.0,60.14691,61.656372
sodium,133.89,114.0,1213,1.177,12551.0,970.0,61.457336,53.967407
uranium alloy (U93 Fs5 Zr2),20.083,9.09,126,2.218,6660.0,17600.0,46.549927,37.036987
magnesium alloy zk20a (wrought),125.52,68.0,1025,1.845,15218.0,1800.0,64.60034,66.037964
cobalt alloy s-590 (wrought),12.97,3.71,418,3.49,6731.0,8350.0,47.724976,41.91284
protactinium,12.552,7.11,115,1.771,4707.0,15400.0,58.60797,37.21106
sapphire - aluminum oxide (Al2O3) (single xtal),43.932,14.2,778,3.096,11665.0,3980.0,50.59015,30.272095
nickel alloy hastelloy x,9.832,2.8,427,3.514,5877.0,8230.0,50.12976,47.618774
cobalt alloy hs-30 (422-19) (as cast),12.552,3.61,418,3.474,6606.0,8310.0,47.875427,42.69409
chalk (avg prop),0.837,0.59,921,1.418,1089.0,1540.0,52.722168,56.950684
tungsten titanium carbide k21,44.35,9.57,377,4.637,14333.0,12300.0,32.47827,17.61731
magnesium sulfate (MgSO4) (crystal),2.51,0.75,1255,3.338,2895.0,2660.0,32.47162,79.77783
zinc-aluminum-copper alloy astm 25,108.78,38.8,418,2.801,17463.0,6700.0,51.34082,55.038452
iron ni-tensyliron (cast heat treat),46.024,13.9,460,3.312,12349.0,7200.0,47.100708,20.125977
potassium nitrate (KNO3) (pr 8000 kb),2.092,1.19,837,1.765,1921.0,2109.0,52.309082,60.69995
silicone rubber (rtv 521 and 093-009),0.272,0.16,1255,1.757,691.0,1400.0,48.356445,63.25061
tetradecafluorohexane,0.057,0.0308,1100,1.848,324.8,1680.0,47.319702,64.82837
lithium fluoride (LiF 96) (plastic bnd),10.042,2.5,1632,4.015,6349.0,2460.0,21.046387,84.069824
nickel alloy (Ni62 Cr12 Fe26),13.389,3.55,460,3.772,7108.0,8200.0,51.10675,41.19165
soil loam (H2O 4-27 pc),0.418,0.25,1046,1.674,837.0,1600.0,49.67102,61.885742
hydrogen,0.12,0.1943,8700,0.618,272.2,71.0,53.106262,38.808105
chromium carbide + ni (Cr(x)C(y) Ni),11.297,3.36,502,3.363,6165.0,6700.0,47.40143,48.425293
beryllium oxide (BeO) (96 pc dens),255.22,84.1,1046,3.033,27824.0,2900.0,58.08838,62.811035
magnesite brick c (MgO 86) (17.8 p),3.682,1.51,837,2.444,2999.0,2920.0,48.074646,65.91101
magnesium alloy 1964 (Mg Ce5 Co2 Mn0.8),121.34,68.7,1004,1.767,14643.0,1760.0,64.56073,64.65137
titanium alloy (Ti Bal  Al4  Mo3  V1),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
aluminum alloy (Al84.0  cast or tempd),83.68,35.3,879,2.373,14089.0,2700.0,69.98682,58.95044
germanium (n-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
bronze phospher 1.25 percent,205.02,61.2,377,3.355,26214.0,8900.0,54.828857,56.682617
nickel alloy monel  h (as cast),20.92,5.62,439,3.723,8828.0,8480.0,47.172302,29.809814
aluminum alloy (Al99.8 cast or tempd),209.2,88.2,879,2.373,22277.0,2700.0,63.913757,65.69763
allyl cast resins (high heat capacity),0.205,0.07,2343,3.046,790.0,1300.0,53.547546,67.97424
magnesium alloy az61a(x) azm (wrought),75.312,40.8,1025,1.845,11788.0,1800.0,62.51062,58.302856
expanded polystyrene foam (NIST 1453),0.033,0.77,1130,0.043,38.0,38.0,52.232117,41.138794
titanium alloy (Ti Bal Al4 Cu2 Zr2),9.205,3.76,544,2.448,4746.0,4500.0,74.776855,58.700317
bronze architectural,121.34,37.9,377,3.205,19708.0,8500.0,42.37445,51.254883
tin oxide (SnO2) (93-95 pc dense),31.38,16.5,343,1.907,7737.0,5560.0,93.26599,57.78711
thorium,38.493,28.1,117,1.367,7259.0,11680.0,63.12146,63.5791
bronze phospher 10 percent,50.208,15.2,377,3.31,12885.0,8780.0,39.06714,23.229858
cobalt alloy (Co64 Cr30 W6),12.552,3.56,418,3.528,6658.0,8440.0,48.128906,42.513306
barium titanate (BaO.TiO2) (sintered),3.389,1.31,439,2.59,2964.0,5900.0,51.92389,60.585327
tantalum beryllide (TaBe12) (hp),41.84,13.2,774,3.173,11523.0,4100.0,48.533264,30.890503
aluminum alloy 7075-t6 (annealed),163.18,69.6,837,2.344,19557.0,2801.0,63.391174,65.4386
tungsten titanium carbide km,59.831,12.3,377,4.863,17049.0,12900.0,24.586609,22.138062
diatomaceous earth brick (high burn),0.226,0.48,795,0.469,326.0,590.0,52.70984,45.13672
rubber natural foam,0.042,0.2,2092,0.209,94.0,100.0,53.170715,48.993042
carbon dioxide  (25 °C),0.016632,10.957,851,0.002,55.0,1.7842,51.852234,37.96045
potassium bromide (KBr 75  KCl 25),2.092,1.72,477,1.216,1595.0,2550.0,54.358032,54.67505
alumina brick high k (Al2O3 87) (22 p),2.929,1.37,753,2.146,2507.0,2850.0,50.55432,64.005005
potassium chloride (KCl 75  KBr 25),3.305,2.56,598,1.292,2067.0,2160.0,56.326538,53.21228
cellulose acetate (high k),0.335,0.18,1464,1.903,798.0,1300.0,47.09558,65.72754
calcium,125.52,123.0,657,1.018,11305.0,1550.0,59.453247,42.61792
melamine glass fiber filled (mst 205),0.481,0.15,1674,3.181,1237.0,1900.0,44.911255,72.208984
potassium aluminum silicate (orthoclase),4.184,1.28,1255,3.263,3695.0,2600.0,27.973938,81.8772
nickel alloy monel 403 (hot-rolled),24.811,6.38,439,3.89,9827.0,8860.0,46.355286,24.776001
magnesium alloy zre1(aa) (casting),100.42,54.4,1025,1.845,13612.0,1800.0,62.55945,62.956787
aluminum alloy (Al84.0 average trtmt),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
helium (gas),0.15,164.0,5188,0.001,12.0,0.177,54.616272,61.090576
lithium nickel oxide (5LiO.95NiO),13.18,2.81,711,4.693,7866.0,6600.0,35.148865,56.82068
urea-formaldehyde  molded,0.126,0.05,1674,2.511,561.0,1500.0,47.077087,66.61987
titanium nitride (TiN) (hp  70-90 dens),25.104,9.26,603,2.714,8250.0,4500.0,73.29773,34.895508
zinc ferrite (ZnO.Fe2O3),4.017,1.29,586,3.123,3541.0,5330.0,37.10144,70.37512
aluminum oxide (Al2O3) (polyxtal  55 d),17.573,10.3,778,1.712,5485.0,2200.0,69.13153,52.44336
steam (H2O) (gas) (1 atm),0.023,19.9,1966,0.001,5.0,0.598,52.41278,42.651
titanium,20.92,8.89,523,2.354,7017.0,4500.0,86.97821,45.1687
aluminum alloy 2024-t4 and 24s-24 (ar),118.41,50.9,837,2.327,16597.0,2780.0,62.19458,64.8457
potassium chloride (KCl),8.368,6.16,686,1.358,3372.0,1980.0,58.70288,51.05078
zinc sulfide (ZnS) (cubic crystal),25.941,13.4,473,1.939,7091.0,4100.0,99.209656,54.08362
tatb h.e. (triamino-trinitro-benzene),0.799,0.41,1047,1.968,1254.0,1880.0,46.918823,65.53906
yttrium boride (YB6) (98.4 pc dense),29.288,13.0,628,2.261,8135.0,3600.0,100.0,42.038452
titanium alloy (Ti Bal V15 Al2.8),8.368,3.31,527,2.53,4602.0,4800.0,71.63214,59.301636
iron  grey cast  pearlitic (3.4 c),58.576,17.7,460,3.307,13922.0,7190.0,43.10199,22.600708
titanium alloy ti150a (Cr2.7 Fe1.4),15.899,6.36,544,2.502,6307.0,4600.0,79.365906,46.374268
uranium carbide (UC) (avg),23.849,8.71,203,2.741,8082.0,13500.0,27.213196,38.107666
thorium oxide (ThO2) (96-100 pc dense),11.715,5.21,234,2.246,5133.0,9600.0,46.782166,49.30005
sodium (liquid),84.517,65.8,1381,1.284,10419.0,930.0,59.56018,55.003662
beryllium + beo (Be BeO 0.6-1.7),179.91,53.7,1820,3.349,24546.0,1840.0,54.616272,61.090576
lead antimonial (Pb Sb 4-6) (hard),29.706,20.2,134,1.469,6603.0,10960.0,59.83313,63.036743
polyurethane foamed-in-place  (rigid),0.032,0.49,1674,0.067,47.0,40.0,52.5719,43.981934
cobalt alloy hs-25 (l-605) (wrought),9.205,2.61,385,3.523,5694.0,9150.0,45.161682,50.039673
nickel alloy corrosist,20.92,5.83,460,3.588,8666.0,7800.0,49.023438,30.035278
polyvinyl chloride rigid,0.251,0.18,1004,1.406,594.0,1400.0,52.205627,57.267212
chrome alum (Cr2(SO4)3.K2SO4.24H2O),2.092,0.86,1339,2.445,2262.0,1826.0,43.987183,68.731445
vanadium,30.794,11.0,460,2.806,9298.0,6100.0,48.98645,38.03894
fireclay brick (22 p),1.297,0.9,732,1.449,1371.0,1980.0,54.612305,55.882202
magnesium silicide (Mg2Si),7.908,4.8,837,1.649,3611.0,1970.0,59.683655,53.127197
n-hexane  (25 °C),0.12002,0.08065,2273,1.488,34.0,655.0,54.616272,61.090576
thorium,38.493,28.1,117,1.367,7259.0,11680.0,63.12146,63.5791
mendelevium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
barium boride (BaB6),44.769,8.22,1255,5.447,15615.0,4340.0,0.26519775,66.26172
pyrex glass,1.13,0.7,728,1.616,1351.0,2220.0,52.824158,59.307617
diesel,0.151,0.09,1900,1.596,491.0,840.0,51.9787,62.90222
magnesium alloy m1(x s) (wrought),142.26,78.9,1025,1.804,16020.0,1760.0,65.24896,66.3595
iron  grey cast  pearlitic (3.4 c),58.576,17.7,460,3.307,13922.0,7190.0,43.10199,22.600708
porcelain 576,11.297,4.41,753,2.56,5378.0,3400.0,71.49011,61.52295
niobium alloy (Nb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
nickel alloy monel  h (as cast),20.92,5.62,439,3.723,8828.0,8480.0,47.172302,29.809814
potassium chromate (K2O.2CrO3) (m axis),1.715,0.7,921,2.468,2057.0,2680.0,42.615112,67.54285
titanium alloy (Ti Bal  Cr3.4  Mo2.1),16.318,6.78,523,2.406,6266.0,4600.0,81.62073,48.135254
cellulose proprionate (low k),0.167,0.1,1464,1.757,542.0,1200.0,48.157166,63.963135
melamine glass fiber filled (mst 205),0.481,0.15,1674,3.181,1237.0,1900.0,44.911255,72.208984
nickel alloy nimonic 95,11.255,3.03,460,3.708,6461.0,8060.0,51.507263,45.445557
aluminum,225.94,91.0,921,2.485,23688.0,2698.0,63.22705,65.35742
aluminum alloy (Al93.0 average trtmt),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
thorium boride (ThB4),15.899,3.81,494,4.174,8144.0,8450.0,51.659424,38.666138
aluminum alloy (Al96.0 average trtmt),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
gadolinium,8.786,4.85,230,1.81,3989.0,7870.0,58.797485,63.71167
potassium chromate (K2O.2CrO3) (s axis),2.092,0.85,921,2.468,2272.0,2680.0,43.811157,67.45813
gadolinium oxide (Gd2O3) (monoc) (98 d),10.042,4.53,290,2.216,4717.0,7640.0,59.544617,60.779907
magnesium alloy zh42 (casting),112.97,63.1,962,1.789,14220.0,1860.0,64.00885,63.55249
n-heptane  (25 °C),0.1222,0.08004,2247,1.527,35.0,680.0,54.616272,61.090576
Graphite Sheet 100 um (in-plane),700.0,968.0,850,0.723,22489.0,850.0,72.49811,0.0
mica (single crystal) (synthetic) (98d),2.092,0.9,837,2.335,2210.0,2790.0,45.21942,65.57654
iron ni-resist types 1 and 2 (cast),39.748,11.8,460,3.358,11556.0,7300.0,48.191162,20.38855
slate (avg prop),1.883,0.82,837,2.31,2085.0,2760.0,45.013184,65.52234
magnesium alloy ek33a  h811 (casting),104.6,55.8,1025,1.876,14007.0,1830.0,62.904175,64.04541
magnesium alloy az91a b (dc) (casting),54.392,29.3,1025,1.855,10045.0,1810.0,64.92053,53.550903
potassium alum (K2SO4.Al2(SO4)3.24H2O),2.092,0.75,1548,2.786,2414.0,1800.0,41.35724,68.708496
Graphite Sheet 70 um (in-plane),800.0,855.0,850,0.935,27350.0,1100.0,56.815918,48.974365
europium,12.552,13.5,176,0.933,3419.0,5300.0,69.31702,58.850464
mock h.e. 90010 (pbx-9404 mech mock),0.532,0.24,1255,2.234,1090.0,1780.0,44.232605,68.32007
zirconium nitride (ZrN) (pr sr 88-90 d),10.46,4.18,385,2.503,5116.0,6500.0,55.66693,61.232056
aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),22.05,4.96,1255,4.443,9898.0,3540.0,10.091614,81.74072
magnesium aluminate (MgO.Al2O3) (xtal),14.226,4.87,812,2.923,6447.0,3600.0,60.30139,69.12634
krypton (gas),0.009,99.9,247,0.0,1.0,0.3733,53.214172,14.265747
tungsten carbide cermet carboloy 905,100.42,31.8,209,3.156,17811.0,15100.0,19.474487,54.47461
aluminum alloy 2024-t4 and 24s-24 (ar),118.41,50.9,837,2.327,16597.0,2780.0,62.19458,64.8457
steel stainless 430  430f  and 431,16.736,4.69,460,3.565,7726.0,7750.0,49.84308,35.3844
colombium alloy (Cb61 Ta28 W10 Zr0.5),44.769,20.8,201,2.151,9808.0,10700.0,33.850952,46.710693
sodium,133.89,114.0,1213,1.177,12551.0,970.0,61.457336,53.967407
uranium beryllide (UBe13) (sntrd 61d),20.92,9.26,837,2.26,6875.0,2700.0,71.680664,47.30188
vermiculite expanded,0.071,0.43,753,0.166,109.0,220.0,52.27643,41.50952
gypsum - calcium sulfate dihydrate (CaSO4.4H2O),1.297,0.51,1088,2.524,1809.0,2320.0,42.670654,70.20276
silicone rubber high k,0.753,0.46,1255,1.632,1108.0,1300.0,50.04547,61.19507
nickel alloy chlorimet 3,12.552,3.65,385,3.442,6572.0,8940.0,42.682312,44.54883
zirconium oxide (Y2O3 12  Zr 8) (97 d),2.469,1.02,439,2.415,2442.0,5500.0,52.84088,67.8186
teak wood (across grain),0.142,0.12,2301,1.243,420.0,540.0,54.58264,60.808594
cobalt alloy wi-A664:G67052,25.104,7.14,418,3.511,9393.0,8400.0,44.473328,27.292725
sodium chlorate (NaClO3) (crystal),1.13,0.49,921,2.293,1609.0,2490.0,42.921875,66.64966
copper sulfate (CuSO4) (crystal),2.092,0.77,753,2.715,2384.0,3606.0,42.686096,67.74402
melamine alpha cellulose filled,0.356,0.14,1674,2.511,945.0,1500.0,47.06891,66.625854
brass tin (naval and admiralty),112.97,35.5,377,3.189,18972.0,8460.0,40.81848,49.704468
cellulose triacetate,0.251,0.13,1464,1.903,691.0,1300.0,47.01062,65.79431
nickel alloy monel 403 (hot-rolled),24.811,6.38,439,3.89,9827.0,8860.0,46.355286,24.776001
oxygen (gas),0.026,23.2,795,0.001,5.0,1.429,51.57202,35.6167
tungsten carbide cermet carboloy 905,100.42,31.8,209,3.156,17811.0,15100.0,19.474487,54.47461
silicon carbide (SiC) (foam  in vacuum),0.105,0.34,678,0.312,181.0,460.0,52.474915,43.170288
silicon carbide (SiC) (nitride bonded),41.84,23.2,678,1.803,8685.0,2660.0,87.13611,52.558838
cellulose proprionate (low k),0.167,0.1,1464,1.757,542.0,1200.0,48.157166,63.963135
niobium beryllide (Nb2Be17),31.38,10.7,921,2.947,9614.0,3200.0,49.458496,52.828003
niobium alloy (Nb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
epoxy silica filled cast,0.628,0.35,1004,1.807,1065.0,1800.0,48.608643,63.718018
boron nitride (bn 97  bn2o3 2) (prs ax),15.062,9.02,795,1.67,5015.0,2100.0,65.64563,52.02588
hematite (Fe2O3),12.552,3.82,628,3.291,6425.0,5240.0,34.52295,62.355835
magnesium alloy zh42 (casting),112.97,63.1,962,1.789,14220.0,1860.0,64.00885,63.55249
titanium alloy ti140a (Fe2 Cr2 Mo2),11.715,4.87,523,2.406,5309.0,4600.0,77.22113,55.14441
uranium alloy (U97 fs3),21.338,9.29,126,2.306,7000.0,18300.0,45.34674,36.990967
gypsum (CaCO4 4H2O) (artificial),0.753,0.33,1088,2.296,1315.0,2110.0,44.03308,68.607544
magnesium alloy zk60a b zw6 (casting),117.15,61.2,1046,1.914,14975.0,1830.0,63.731445,65.6073
sulfur dioxide (SO2) (gas),0.009,5.08,636,0.002,4.0,2.927,51.910706,38.449707
iron ni-hard types 1 and 2 (kovar),14.226,4.02,460,3.542,7100.0,7700.0,50.428955,39.693848
tantalum,71.128,31.0,138,2.291,12769.0,16600.0,36.67395,54.409424
helium (gas),0.15,164.0,5188,0.001,12.0,0.177,54.616272,61.090576
nickel alloy incoloy,12.134,3.35,452,3.621,6627.0,8010.0,50.98987,43.430298
potassium iodide (KI),2.887,3.02,305,0.955,1661.0,3130.0,55.52112,53.341675
copper alloy (Cu99.4  Al0.3 Zr0.27),217.57,64.9,377,3.355,27004.0,8900.0,54.840942,56.432617
steel stainless 304,14.644,3.68,502,3.976,7631.0,7920.0,52.125854,41.23413
niobium nitride (NbN),4.184,1.25,402,3.361,3748.0,8360.0,44.96405,60.125732
