Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
praseodymium boride (PrB6) (95 pc dens),41.003,14.2,628,2.889,10880.0,4600.0,60.294373,26.803955
pentane,0.14,0.1026,2180,1.365,437.1,626.0,54.616272,61.090576
carbon graphite (typical k),167.36,105.0,707,1.591,16318.0,2250.0,65.975525,63.776733
allyl cast resins (high heat capacity),0.205,0.07,2343,3.046,790.0,1300.0,53.547546,67.97424
aluminum alloy (Al99.0 average trtmt),209.2,88.2,879,2.373,22277.0,2700.0,63.913757,65.69763
iron grey cast pearlitic (2.3-3.0 c),41.84,12.6,460,3.307,11766.0,7190.0,47.76648,21.064087
sulfuric acid,0.5,0.1941,1400,2.576,1134.9,1840.0,43.944702,68.74707
sodium chlorate (NaClO3) (crystal),1.13,0.49,921,2.293,1609.0,2490.0,42.921875,66.64966
tantalum silicide (TaSi2),37.028,13.4,314,2.773,10129.0,8830.0,32.353638,41.062256
polyvinylidene chloride,0.126,0.06,1339,2.276,535.0,1700.0,43.987427,68.60474
carbon monoxide  (25 °C),0.024896,21.135,1042,0.001,114.0,1.1303,51.720093,36.85486
titanium carbide cermet k164b,20.083,5.6,544,3.59,8491.0,6600.0,48.759216,35.75757
tungsten carbide cermet carboloy 999,121.34,38.0,209,3.187,19675.0,15250.0,18.92212,57.191284
nickel alloy multimet (n-155) (low c),16.318,4.57,435,3.574,7637.0,8215.0,47.866028,36.110718
talc,2.971,1.31,816,2.277,2600.0,2790.0,48.52124,64.960815
nickel alloy (Ni60 Cr16 Fe24),13.389,3.53,460,3.795,7130.0,8250.0,51.121704,41.20508
marble (avg prop),2.51,1.06,879,2.373,2440.0,2700.0,46.048096,66.14502
steel high speed (m1  m10  m-2  ti),35.564,9.42,460,3.772,11585.0,8200.0,46.30139,16.13379
vanadium,30.794,11.0,460,2.806,9298.0,6100.0,48.98645,38.03894
nickel alloy m-252 (ge j-1500),9.623,2.67,439,3.604,5891.0,8210.0,50.67279,48.40442
sandstone (high density),4.184,1.67,962,2.501,3235.0,2600.0,47.09143,67.98584
cobalt alloy hs-36 (cast),9.372,2.69,385,3.48,5711.0,9040.0,44.43341,49.720703
dolomite - calcium magnesium carbonate (CaMg(CO3)(avg prop),2.929,1.18,921,2.487,2698.0,2700.0,45.831482,67.52222
plutonium carbide (PuC) (arcm or cast),7.113,2.86,184,2.484,4204.0,13500.0,47.529358,34.00537
epoxy silica filled cast,0.628,0.35,1004,1.807,1065.0,1800.0,48.608643,63.718018
sp-1 polyimide resin (vespel),0.35,0.25,1130,0.85,1430.0,752.0,53.31836,50.228638
balsa wood (across grain),0.05,0.17,2301,0.299,123.0,130.0,53.488464,51.6521
"phenolic resin pressed (types 40, 50)",0.377,0.22,1255,1.732,808.0,1380.0,48.748596,62.881104
dysprosium,10.042,6.78,173,1.48,3858.0,8556.0,56.18048,60.282837
sapphire - aluminum oxide (Al2O3) (polyxtal 100 d),38.493,12.4,778,3.096,10919.0,3980.0,53.18048,33.921753
silicon telluride (site),6.276,4.78,335,1.313,2870.0,3920.0,58.939392,58.641357
titanium carbide cermet k151a,22.594,7.16,544,3.155,8442.0,5800.0,48.99176,34.415283
nickel alloy nichrome v (Ni80 Cr20),13.389,3.72,431,3.603,6946.0,8360.0,48.934998,40.953613
molybdenum alloy (Mo70 W30),123.01,61.6,201,1.998,15669.0,9940.0,57.724915,62.758667
norway pine wood (across grain),0.151,0.12,2301,1.266,437.0,550.0,54.60089,60.96167
gypsum (CaCO4 4H2O) (artificial),0.753,0.33,1088,2.296,1315.0,2110.0,44.03308,68.607544
iron  wrought (various),58.576,16.5,460,3.542,14407.0,7700.0,40.75049,18.61023
uranium alloy (U94.4 Cr5.6) (eutectic),28.451,13.9,111,2.054,7626.0,18500.0,48.507812,42.129883
spruce wood (across grain),0.126,0.24,1255,0.515,254.0,410.0,52.892517,46.665527
melamine (high dens  high k),0.711,0.21,1674,3.348,1543.0,2000.0,43.308105,74.303345
magnesium alloy az63a (ac f) (casting),71.128,37.8,1025,1.881,11566.0,1835.0,63.216858,57.37561
titanium alloy (Ti Bal  Al8  Mo1  v1),5.858,2.46,544,2.377,3731.0,4370.0,66.52557,59.93689
nickel alloy durimet 20 (cast),20.92,5.74,460,3.643,8732.0,7920.0,48.99524,29.876465
aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),22.05,4.96,1255,4.443,9898.0,3540.0,10.091614,81.74072
tungsten silicide (WSi2) (hp 95 dense),40.585,14.0,308,2.895,10838.0,9400.0,30.971375,38.19629
nickel alloy d and e,44.769,11.1,460,4.048,13465.0,8800.0,41.476257,9.615723
urea-formaldehyde  molded,0.126,0.05,1674,2.511,561.0,1500.0,47.077087,66.61987
strontium titanate + co (Co 20),6.276,2.16,502,2.912,4275.0,5800.0,40.86084,63.227783
potassium,97.069,150.0,753,0.649,7938.0,862.0,56.15039,23.370361
spruce wood (across grain),0.126,0.24,1255,0.515,254.0,410.0,52.892517,46.665527
yttrium,12.552,9.59,293,1.31,4054.0,4470.0,65.164795,60.60254
strontium titanate + co (co 30),6.694,2.15,502,3.112,4565.0,6200.0,40.42212,60.003418
titanium alloy (Ti Bal Zr3 Al2),9.958,4.14,523,2.406,4895.0,4600.0,75.70465,57.392944
polyvinyl carbazole,0.155,0.1,1297,1.53,487.0,1180.0,50.439087,60.12671
nickel alloy monel 400,25.941,6.69,439,3.876,10031.0,8830.0,46.18445,23.559326
uranium oxide + st steel (UO2 70 vol),7.95,2.38,335,3.35,5158.0,10000.0,36.85614,52.46106
francium,12.552,7.35,142,1.704,4630.0,12000.0,58.114136,43.13159
copper alloy constantan (Cu55 Ni45),22.175,6.28,398,3.538,8852.0,8890.0,42.412292,30.818237
sulfur,0.276,0.19,711,1.422,627.0,2000.0,52.60199,57.133667
lx-04 h.e. (hmx 85  viton a 15),0.448,0.23,1023,1.913,925.0,1870.0,47.174988,65.23889
molybdenum alloy (Mo99.5 Ti0.5),117.15,45.0,255,2.601,17463.0,10200.0,48.73584,60.429688
sandstone (high density),4.184,1.67,962,2.501,3235.0,2600.0,47.09143,67.98584
magnesium titanate porcelain,1.883,0.86,753,2.184,2028.0,2900.0,47.221313,64.35242
lutetium,10.46,7.05,151,1.487,3939.0,9850.0,61.584717,54.07251
aluminum fluosilicate (topaz) (2 AlFS.SiO2) (a-axis),19.246,4.33,1255,4.443,9247.0,3540.0,10.893372,82.321655
cobalt alloy hs-21 (as cast),12.552,3.58,423,3.511,6635.0,8300.0,48.590027,42.500244
beryllium oxide + be (BeO 3-12),209.2,67.5,1088,3.101,25469.0,2850.0,55.82959,61.691772
plaster building (molded dry),0.431,0.32,1088,1.36,766.0,1250.0,52.69159,56.437134
aluminum alloy (Al84.0 wrot or annld),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),22.05,4.96,1255,4.443,9898.0,3540.0,10.091614,81.74072
iron ni-resist type 3 (cast),39.33,11.6,460,3.404,11573.0,7400.0,47.959656,19.586426
mahogany wood (across grain),0.13,0.1,2301,1.243,401.0,540.0,54.58307,60.812134
fermium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
tungsten titanium carbide k21,44.35,9.57,377,4.637,14333.0,12300.0,32.47827,17.61731
bronze silicon low,54.392,16.5,377,3.299,13388.0,8750.0,38.07483,25.615479
gypsum (CaCO4 4H2O) (artificial),0.753,0.33,1088,2.296,1315.0,2110.0,44.03308,68.607544
tantalum beryllide (TaBe12) (hp),41.84,13.2,774,3.173,11523.0,4100.0,48.533264,30.890503
hard fired silica brick (SiO2 94-95),1.674,1.24,753,1.355,1506.0,1800.0,55.453857,53.983887
nickel alloy nichrome v (Ni80 Cr20),13.389,3.72,431,3.603,6946.0,8360.0,48.934998,40.953613
1-dodecene,0.14,0.0856,2150,1.636,478.5,761.0,54.26013,61.351807
tatb h.e. (triamino-trinitro-benzene),0.799,0.41,1047,1.968,1254.0,1880.0,46.918823,65.53906
rock or stone (average properties),1.757,0.81,837,2.176,1955.0,2600.0,47.42914,65.321655
manganese telluride (99mnte.nate),1.841,0.8,402,2.291,2053.0,5700.0,56.573486,71.12744
fired carbon brick,3.598,3.46,707,1.039,1934.0,1470.0,54.702576,50.609863
nylon 6  11  66  610 (polycaprolactam),0.243,0.14,1527,1.71,644.0,1120.0,48.951477,63.47583
pentane,0.14,0.1026,2180,1.365,437.1,626.0,54.616272,61.090576
vanadium nitride (VN),12.134,3.4,586,3.575,6585.0,6100.0,42.06433,55.35254
nickel alloy durimet 20 (cast),20.92,5.74,460,3.643,8732.0,7920.0,48.99524,29.876465
mendelevium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
silicon carbide (SiC) (single xtal),489.53,225.0,678,2.176,32636.0,3210.0,70.079956,68.753296
gadolinium boride (GdB6) (95.6 pc dens),20.502,6.53,628,3.14,8021.0,5000.0,45.93219,46.597168
magnesite brick b (MgO 93) (22.6 p),4.812,2.08,837,2.31,3334.0,2760.0,51.388794,64.65918
steel stainless cn-7m (cast),20.92,5.65,460,3.698,8798.0,8040.0,48.96698,29.717651
technicium,12.552,4.5,243,2.795,5919.0,11500.0,35.501343,39.21643
mock h.e. rm-04-bg (lx-04-1 mech mock),0.115,0.06,962,1.799,454.0,1870.0,47.959595,64.323975
titanium alloy hylite 51 (imi551),6.694,2.78,523,2.406,4013.0,4600.0,68.96301,61.13037
titanium alloy c100m (rc130a) (mn7.9),10.878,4.54,523,2.395,5105.0,4580.0,76.65283,56.16931
polyurethane foam  flexible,0.042,0.4,1757,0.105,66.0,60.0,52.673462,44.831787
mock h.e. 90010 (pbx-9404 mech mock),0.532,0.24,1255,2.234,1090.0,1780.0,44.232605,68.32007
tin telluride (snte 60  agsbte2 40),1.778,1.31,209,1.359,1555.0,6500.0,55.1687,61.873413
neptunium,12.552,5.56,126,2.268,5325.0,18000.0,52.032043,33.572998
potassium chromate (K2O.2CrO3) (m axis),1.715,0.7,921,2.468,2057.0,2680.0,42.615112,67.54285
steel multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
aluminum alloy (Al94.0 cast or tempd),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
holmium,10.042,6.9,165,1.452,3822.0,8800.0,56.996155,59.477173
americium,12.552,8.55,126,1.474,4293.0,11700.0,65.09198,49.49646
tungsten carbide cermet k6 and k96,100.42,32.2,209,3.114,17692.0,14900.0,19.968933,54.189697
cobalt alloy he-1049,14.644,4.71,352,3.114,6748.0,8846.0,34.779236,44.457397
n-hexane  (25 °C),0.12002,0.08065,2273,1.488,34.0,655.0,54.616272,61.090576
olive oil,0.171,0.09,1970,1.812,557.0,920.0,51.621338,63.286987
magnesium titanate porcelain,1.883,0.86,753,2.184,2028.0,2900.0,47.221313,64.35242
shale (avg prop),1.674,0.83,837,2.009,1833.0,2400.0,49.088013,64.39368
magnesium alloy zty(x) (hk11) (wrought),121.34,71.6,962,1.693,14336.0,1760.0,64.52167,62.864258
nickel alloy nimonic 80,11.715,3.09,460,3.795,6669.0,8250.0,51.666016,44.61841
tetradecafluorohexane,0.057,0.0308,1100,1.848,324.8,1680.0,47.319702,64.82837
aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),22.05,4.96,1255,4.443,9898.0,3540.0,10.091614,81.74072
steel stainless series 400,23.43,7.01,431,3.34,8847.0,7750.0,46.381836,30.759521
orthoclase (K2O.Al2O3.6SiO2) (crystal),4.184,1.28,1255,3.263,3695.0,2600.0,27.973938,81.8772
concrete cinder,0.335,0.32,657,1.051,593.0,1600.0,53.527527,51.97876
vanadium,30.794,11.0,460,2.806,9298.0,6100.0,48.98645,38.03894
iron grey cast ferritic (3.2-3.8 c),71.128,21.5,460,3.307,15341.0,7190.0,39.30298,32.400513
californium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
magnesium alloy zh62a(ac) tz6 (casting),112.97,63.1,962,1.789,14220.0,1860.0,64.00885,63.55249
cellulose acetate butyrate (high k),0.335,0.19,1464,1.757,767.0,1200.0,48.30487,63.806274
uranium alloy (U96 Nb4),22.803,10.3,126,2.23,7117.0,17700.0,44.8078,38.267212
iron ni-resist type 3 (cast),39.33,11.6,460,3.404,11573.0,7400.0,47.959656,19.586426
steel stainless 430  430f  and 431,16.736,4.69,460,3.565,7726.0,7750.0,49.84308,35.3844
nickel alloy hastelloy r-235,9.205,2.55,439,3.609,5765.0,8220.0,50.6839,49.347656
uranium alloy (U93 Fs5 Zr2),20.083,9.09,126,2.218,6660.0,17600.0,46.549927,37.036987
light mineral oil,0.129,0.08,1717,1.511,441.0,880.0,51.70941,61.452637
titanium carbide cermet k161b,23.43,6.22,628,3.768,9393.0,6000.0,42.736633,37.08203
Fibrous glass board (NIST 1450d),0.0325,0.2323,1093,0.14,67.0,128.0,52.354797,42.16565
californium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
scandium,12.552,7.58,552,1.656,4560.0,3000.0,69.44171,56.348755
magnesium alloy hk31a(h24) (casting),112.97,61.6,1025,1.835,14397.0,1790.0,63.708252,64.68396
melamine asbestos filled (mst 95-205),0.628,0.2,1674,3.097,1394.0,1850.0,44.641174,71.218994
platinum,69.036,24.1,134,2.868,14065.0,21400.0,33.46393,51.32129
uranium oxide (UO2) (polyxtal  97 dens),10.042,3.9,243,2.576,5083.0,10600.0,41.11493,41.018433
aluminum oxide + cr (Al2O3 23 Cr 77),46.024,15.5,502,2.962,11677.0,5900.0,48.84021,28.025635
tungsten silicide (WSi2) (hp 95 dense),40.585,14.0,308,2.895,10838.0,9400.0,30.971375,38.19629
snow (fresh),0.105,0.5,2092,0.209,148.0,100.0,53.167175,48.963623
soil (av props),0.837,0.62,1046,1.36,1067.0,1300.0,53.05652,56.117065
plutonium carbide (PuC) (arcm or cast),7.113,2.86,184,2.484,4204.0,13500.0,47.529358,34.00537
cellulose acetate butyrate (low k),0.167,0.1,1464,1.757,542.0,1200.0,48.157166,63.963135
steel stainless he (cast),17.154,3.81,586,4.5,8785.0,7680.0,47.09613,42.452637
colombium alloy (Cb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
lithium nickel oxide (5LiO.95NiO),13.18,2.81,711,4.693,7866.0,6600.0,35.148865,56.82068
bromine,0.122,0.08,460,1.426,417.0,3100.0,53.74646,57.384155
calcium boride (CaB6),39.162,12.7,1255,3.087,10996.0,2460.0,28.809875,58.807617
phenoxy,0.176,0.08,1674,2.093,606.0,1250.0,47.349,66.42029
magnesium alloy 1992 (Mg Ce4.45 Co3),129.7,77.5,962,1.674,14737.0,1740.0,64.80682,63.430786
copper alloy (Cu Bal Be 1.7-1.9),108.78,33.1,398,3.287,18899.0,8260.0,38.39453,47.447998
nickel alloy inconel (cast),10.46,2.79,452,3.752,6264.0,8300.0,51.41034,47.083008
titanium alloy (Ti Bal Sn5.5 Al2),9.205,3.83,523,2.406,4706.0,4600.0,74.872314,58.415283
copper,397.48,116.0,385,3.442,36983.0,8940.0,54.616272,61.090576
beryllium carbide (Be2C) (hp or snt),23.43,7.84,1423,2.988,8368.0,2100.0,16.530396,76.5509
magnesite brick a (MgO 90) (14.5 p),4.937,1.92,837,2.578,3567.0,3080.0,54.90857,66.15869
missouri fireclay brick,1.004,0.67,753,1.506,1230.0,2000.0,53.384583,57.503906
beryllium + beo (Be BeO 0.6-1.7),179.91,53.7,1820,3.349,24546.0,1840.0,54.616272,61.090576
germanium (n-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
propane,0.13,0.097,2140,1.243,417.4,581.0,54.48761,60.012817
magnesium alloy 1960 (Mg Ce6.7),118.83,67.3,1004,1.767,14491.0,1760.0,64.38617,64.32239
thulium,8.368,5.63,160,1.488,3526.0,9300.0,60.72943,54.859375
titanium alloy ti140a (Fe2 Cr2 Mo2),11.715,4.87,523,2.406,5309.0,4600.0,77.22113,55.14441
chromium silicide (CrSi2),7.95,3.22,494,2.47,4430.0,5000.0,70.44055,62.819946
nickel alloy (Ni62 Cr12 Fe26),13.389,3.55,460,3.772,7108.0,8200.0,51.10675,41.19165
methanol (25 °C),0.20021,0.10046,2534,1.993,63.0,786.0,57.029663,63.04358
potassium bromide (KBr),3.807,3.18,435,1.196,2134.0,2750.0,55.504395,54.65869
gadolinium oxide (Gd2O3) (monoc) (98 d),10.042,4.53,290,2.216,4717.0,7640.0,59.544617,60.779907
tungsten carbide cermet carboloy 883,100.42,32.1,209,3.125,17722.0,14950.0,19.8443,54.260254
magnesium alloy ek33a  h811 (casting),104.6,55.8,1025,1.876,14007.0,1830.0,62.904175,64.04541
epoxy unfilled cast,0.188,0.15,1046,1.255,486.0,1200.0,53.54608,54.50049
tantalum alloy (Ta99.5 Nb0.5),45.187,19.8,138,2.277,10147.0,16500.0,36.169373,45.858276
marble (avg prop),2.51,1.06,879,2.373,2440.0,2700.0,46.048096,66.14502
bismuth,8.368,7.08,121,1.18,3146.0,9750.0,58.167236,59.446777
yttrium boride (YB6) (98.4 pc dense),29.288,13.0,628,2.261,8135.0,3600.0,100.0,42.038452
nickel alloy corrosist,20.92,5.83,460,3.588,8666.0,7800.0,49.023438,30.035278
magnesium alloy 1959 (Mg Ce4.33),129.7,72.6,1004,1.787,15225.0,1780.0,64.97101,66.08777
tungsten carbide cermet carboloy 999,121.34,38.0,209,3.187,19675.0,15250.0,18.92212,57.191284
hafnium,22.175,11.8,142,1.874,6454.0,13200.0,46.153137,41.90686
allyl cast resins (low heat capacity),0.205,0.15,1088,1.414,538.0,1300.0,51.9422,57.5708
steel multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
cobalt silicide (cos),9.623,2.49,586,3.868,6100.0,6600.0,42.45929,57.51367
silicon oxide (SiO2) (foam 1 atm air),0.055,0.46,745,0.119,81.0,160.0,52.208008,40.937378
tungsten carbide cermet k94 and k1,91.63,31.1,209,2.947,16440.0,14100.0,22.428162,52.398315
niobium silicide (NbSi2),41.84,17.2,460,2.433,10092.0,5290.0,67.231995,44.549072
nickel alloy nimonic 95,11.255,3.03,460,3.708,6461.0,8060.0,51.507263,45.445557
niobium silicide (NbSi2),41.84,17.2,460,2.433,10092.0,5290.0,67.231995,44.549072
chrome-nickel-iron superalloys,23.43,6.67,439,3.512,9074.0,8000.0,47.175964,28.079956
steel stainless 316,13.53,3.598,470,3.868,7230.0,8230.0,51.657593,41.229614
nickel alloy hastelloy x,9.832,2.8,427,3.514,5877.0,8230.0,50.12976,47.618774
urea-formaldehyde  molded,0.126,0.05,1674,2.511,561.0,1500.0,47.077087,66.61987
porcelain 576,11.297,4.41,753,2.56,5378.0,3400.0,71.49011,61.52295
molybdenum carbide (Mo2C),20.92,6.69,347,3.123,8086.0,9000.0,34.99414,40.16394
thorium carbide (ThC2) (69 pc dense),24.476,16.7,222,1.465,5986.0,6600.0,66.33411,63.12268
fired carbon brick,3.598,3.46,707,1.039,1934.0,1470.0,54.702576,50.609863
silicone rubber low k,0.138,0.08,1255,1.632,475.0,1300.0,49.41101,61.747925
boron nitride (BN) (perp pr axis 95 d),32.844,19.7,795,1.67,7405.0,2100.0,78.46661,52.547485
ethylene glycol (25 °C),0.2516,0.093989,2412,2.677,77.0,1109.9,59.10663,64.724365
butyl rubber,0.088,0.05,1966,1.769,394.0,900.0,51.68274,63.242065
beryllium + beo (Be BeO 0.6-1.7),179.91,53.7,1820,3.349,24546.0,1840.0,54.616272,61.090576
palladium,76.149,27.5,243,2.77,14515.0,11400.0,28.464111,47.7583
calcium carbonate - calcite (CaCO3) (c axis),4.393,1.94,837,2.268,3156.0,2710.0,51.110535,64.49011
magnesium alloy ek33a  h811 (casting),104.6,55.8,1025,1.876,14007.0,1830.0,62.904175,64.04541
tungsten carbide cermet ca4 tool steel,112.97,38.6,209,2.926,18190.0,14000.0,23.205688,55.236084
ytterbium boride (YbB6) (90.6 pc dense),25.104,8.0,628,3.14,8876.0,5000.0,49.59607,38.73535
plutonium sulfide,9.623,3.95,230,2.436,4842.0,10590.0,43.934753,40.80432
hydrazine,0.57,0.1832,3080,3.111,1331.7,1010.0,47.61383,72.86914
siliceous brick (SiO2 89  Al2O3 9),0.937,0.65,753,1.453,1167.0,1930.0,53.67401,56.651
chromium silicide (CrSi2),7.95,3.22,494,2.47,4430.0,5000.0,70.44055,62.819946
sodium chloride (NaCl) (opaque  impure),5.523,2.93,870,1.884,3226.0,2165.0,55.14612,58.877075
potassium chloride (KCl 75  KBr 25),3.305,2.56,598,1.292,2067.0,2160.0,56.326538,53.21228
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
magnesium alloy magnox a12(x) (wrought),117.15,65.3,1025,1.794,14496.0,1750.0,64.124084,64.66443
polyvinyl chloride  flexible,0.167,0.07,1674,2.511,648.0,1500.0,47.075012,66.62134
egyptian firebrick (64-71 wt% SiO2),0.314,0.45,732,0.695,467.0,950.0,53.02533,47.77661
magnesium alloy a3a (wrought),108.78,60.0,1025,1.814,14048.0,1770.0,63.356567,63.713745
nickel alloy calite n,13.807,3.65,460,3.781,7227.0,8220.0,50.982666,40.380005
beryllium nitride (Be3Nn2) (prsd 3.4 kb),0.711,0.33,1255,2.134,1232.0,1700.0,45.42389,67.27136
cellulose nitrate (pyroxylin),0.23,0.11,1464,2.02,682.0,1380.0,46.118225,67.07532
pentane,0.14,0.1026,2180,1.365,437.1,626.0,54.616272,61.090576
fireclay brick (22 p),1.297,0.9,732,1.449,1371.0,1980.0,54.612305,55.882202
titanium alloy (Ti Bal V15 Al2.8),8.368,3.31,527,2.53,4602.0,4800.0,71.63214,59.301636
cerium oxide (CeO2),11.715,5.46,352,2.147,5012.0,6100.0,72.07068,62.9104
iridium,146.44,50.2,130,2.925,20672.0,22500.0,20.622742,69.91516
kerosene,0.13,0.3476,2000,1.64,220.5,820.0,52.59326,62.57434
steel stainless 201 and 202,16.318,4.22,502,3.865,7943.0,7700.0,51.647583,37.574707
aluminum fluosilicate (topaz) (2 AlFS.SiO2) (a-axis),19.246,4.33,1255,4.443,9247.0,3540.0,10.893372,82.321655
silicone rubber (rtv 521 and 093-009),0.272,0.16,1255,1.757,691.0,1400.0,48.356445,63.25061
quartz crystal c axis (SiO2),11.715,5.87,753,1.995,4835.0,2650.0,61.62036,55.877686
lx-07 h.e. (hmx 90 viton a 10),0.502,0.26,1049,1.962,992.0,1870.0,46.770813,65.68042
calcium titanate (cao.tio2),4.602,1.54,728,2.985,3706.0,4100.0,50.302917,74.58948
nickel alloy inconel 700,12.552,3.34,460,3.758,6870.0,8170.0,51.360474,42.8468
nickel alloy incoloy,12.134,3.35,452,3.621,6627.0,8010.0,50.98987,43.430298
granite (low k),1.715,0.77,837,2.218,1950.0,2650.0,46.161865,65.30676
brass aluminum (Cu76 Zn22 Al2),100.42,31.0,377,3.242,18034.0,8600.0,36.80548,45.948853
rock or stone (average properties),1.757,0.81,837,2.176,1955.0,2600.0,47.42914,65.321655
francium,12.552,7.35,142,1.704,4630.0,12000.0,58.114136,43.13159
tungsten silicide (WSi2) (hp 95 dense),40.585,14.0,308,2.895,10838.0,9400.0,30.971375,38.19629
niobium alloy (Nb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
bronze  phospher 1.25 percent,205.02,61.2,377,3.355,26214.0,8900.0,54.828857,56.682617
isooctane (25 °C),0.09461,0.06577,2091,1.439,24.0,688.0,54.322327,61.296753
tungsten carbide (WC),41.84,14.6,184,2.87,10962.0,15600.0,25.234375,42.00061
potassium bromide (KBr 75  KCl 25),2.092,1.72,477,1.216,1595.0,2550.0,54.358032,54.67505
tungsten telluride (wte2),1.59,0.75,176,2.112,1831.0,12000.0,71.07526,27.121216
silicon carbide (SiC) (foam  in vacuum),0.105,0.34,678,0.312,181.0,460.0,52.474915,43.170288
titanium carbide (TiC) (96 pc dense),31.38,11.6,569,2.697,9200.0,4740.0,69.61658,33.091064
silver selenide (Ag2Se),0.837,0.37,280,2.24,1370.0,8000.0,73.64087,50.13623
magnesium alloy az31b(p s) (wrought),83.68,47.1,1004,1.777,12195.0,1770.0,61.335632,59.836792
andalusite - aluminum silicate (Al2O3.SiO2) (ortho xtal),11.004,4.55,770,2.418,5158.0,3140.0,71.2074,59.344727
magnesium alloy zk60a b zw6 (casting),117.15,61.2,1046,1.914,14975.0,1830.0,63.731445,65.6073
iron nodular cast ferritic base,37.656,11.4,460,3.312,11170.0,7200.0,48.705444,22.065308
nickel alloy hastelloy x,9.832,2.8,427,3.514,5877.0,8230.0,50.12976,47.618774
steel stainless ca15 ca40 (cast),25.104,7.17,460,3.501,9376.0,7610.0,48.815796,26.786987
magnesium alloy 1959 (Mg Ce4.33),129.7,72.6,1004,1.787,15225.0,1780.0,64.97101,66.08777
nickel alloy nimonic 80,11.715,3.09,460,3.795,6669.0,8250.0,51.666016,44.61841
nickel alloy monel  h (as cast),20.92,5.62,439,3.723,8828.0,8480.0,47.172302,29.809814
epoxy der 332 (c) hysol 6000-op (k),0.195,0.14,1172,1.418,525.0,1210.0,51.75049,57.823242
sodium,133.89,114.0,1213,1.177,12551.0,970.0,61.457336,53.967407
lx-04 h.e. (hmx 85  viton a 15),0.448,0.23,1023,1.913,925.0,1870.0,47.174988,65.23889
cerium sulfide (Ce2S3),0.586,0.33,343,1.784,1022.0,5200.0,59.490417,82.12671
gadolinium oxide (Gd2O3) (monoc) (98 d),10.042,4.53,290,2.216,4717.0,7640.0,59.544617,60.779907
polyvinyl chloride acytate  rigid,0.167,0.12,1004,1.406,485.0,1400.0,52.121277,57.322998
tantalum beryllide (TaBe12) (hp),41.84,13.2,774,3.173,11523.0,4100.0,48.533264,30.890503
nickel alloy inconel w,14.728,4.03,439,3.648,7333.0,8310.0,49.00891,38.58618
magnesium alloy m1a (wrought),131.8,73.1,1025,1.804,15420.0,1760.0,64.95892,66.215576
gallium,33.472,15.2,372,2.197,8581.0,5907.0,68.652954,53.02771
rubidium (liquid),29.288,51.6,385,0.568,4078.0,1475.0,61.05951,39.238525
yttrium oxide (Y2O3) (96-100 pc dense),14.226,6.36,448,2.24,5643.0,5000.0,77.60669,54.845215
tungsten carbide cermet ca2 tool steel,54.392,18.6,209,2.926,12622.0,14000.0,23.124634,46.31006
tatb h.e. (triamino-trinitro-benzene),0.799,0.41,1047,1.968,1254.0,1880.0,46.918823,65.53906
uranium oxide (UO2) (single crystal),10.46,3.93,243,2.663,5275.0,10960.0,39.223083,40.099
fired carbon brick,3.598,3.46,707,1.039,1934.0,1470.0,54.702576,50.609863
californium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
colombium alloy (Cb95 Ta5),44.769,19.8,251,2.259,10056.0,9000.0,36.78235,44.035034
udmh (unsymmetrical dimethylhydrazine),0.16,0.0764,2650,2.094,578.9,790.0,58.03241,63.85498
aluminum alloy (Al96.0 average trtmt),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
cordierite - magnesium aluminum silicate (2MgO.2Al2O3.5SiO2),2.218,1.36,774,1.625,1899.0,2100.0,54.44983,57.94519
tungsten alloy (W75 Re25),64.852,24.6,134,2.64,13079.0,19700.0,35.21216,50.656372
niobium nitride (NbN),4.184,1.25,402,3.361,3748.0,8360.0,44.96405,60.125732
cellulose acetate butyrate (high k),0.335,0.19,1464,1.757,767.0,1200.0,48.30487,63.806274
uranium carbide (UC) (avg),23.849,8.71,203,2.741,8082.0,13500.0,27.213196,38.107666
